year,id,ballot,age,childs,sibs,degree,race,sex,region,income16,relig,marital,padeg,madeg,partyid,polviews,happy,partners,grass,zodiac,pres12,wtssall,income_rc,agegrp,ageq,siblings,kids,religion,bigregion,partners_rc,obama
2016,207,1,38,0,1,Bachelor,Other,Female,Pacific,$130000 to $149999,Catholic,Separated,High School,Bachelor,Not Str Republican,Moderate,Pretty Happy,NA,NA,Sagittarius,NA,0.7821816814876192,Gt $130000,Age 35-45,Age 34-49,1,0,Catholic,West,NA,NA
2016,208,2,81,0,3,High School,White,Female,Pacific,NA,None,Widowed,High School,High School,"Ind,near Rep",Moderate,Not Too Happy,No Partners,Not Legal,Virgo,NA,0.4784967557452195,NA,Age 65+,Age 62+,3,0,None,West,0,NA
2016,209,2,35,0,2,Junior College,Black,Male,Pacific,$20000 to 22499,None,Separated,NA,High School,"Ind,near Dem",Moderate,Pretty Happy,1 Partner,Legal,Cancer,1,0.4784967557452195,Gt $20000,Age 18-35,Age 34-49,2,0,None,West,1,1
2016,210,1,46,1,1,Graduate,White,Male,Pacific,$170000 or over,Orthodox-Christian,Married,Graduate,Graduate,"Ind,near Rep",Slightly Conservative,Not Too Happy,NA,NA,Pisces,NA,1.5643633629752385,Gt $170000,Age 45-55,Age 34-49,1,1,Other,West,NA,NA
2016,211,2,37,2,6,High School,White,Male,Pacific,$150000 to $169999,Protestant,Divorced,High School,High School,Independent,NA,Very Happy,1 Partner,Legal,Aquarius,NA,0.956993511490439,Gt $150000,Age 35-45,Age 34-49,6+,2,Protestant,West,1,NA
2016,212,1,21,0,1,High School,Other,Male,Pacific,$60000 to 74999,Protestant,Never Married,Lt High School,Lt High School,Not Str Republican,Slightly Conservative,Pretty Happy,NA,NA,Pisces,NA,1.913987022980878,Gt $60000,Age 18-35,Age 18-34,1,0,Protestant,West,NA,NA
2016,213,1,43,1,1,High School,White,Male,Pacific,NA,Protestant,Married,High School,High School,NA,Moderate,Very Happy,NA,NA,Virgo,NA,0.956993511490439,NA,Age 35-45,Age 34-49,1,1,Protestant,West,NA,NA
2016,214,3,45,2,1,Bachelor,White,Female,Pacific,$170000 or over,Protestant,Married,Graduate,High School,Independent,Moderate,Very Happy,1 Partner,Legal,Libra,2,0.956993511490439,Gt $170000,Age 35-45,Age 34-49,1,2,Protestant,West,1,0
2016,215,2,76,1,2,Graduate,White,Female,Pacific,$40000 to 49999,Protestant,Divorced,Lt High School,Graduate,Strong Republican,Slightly Conservative,Very Happy,No Partners,Not Legal,Gemini,2,0.7821816814876192,Gt $40000,Age 65+,Age 62+,2,1,Protestant,West,0,0
2016,216,3,77,8,9,High School,White,Male,Pacific,$60000 to 74999,Protestant,Married,Lt High School,Lt High School,"Ind,near Dem",Moderate,Pretty Happy,No Partners,Not Legal,Libra,2,1.5643633629752385,Gt $60000,Age 65+,Age 62+,6+,4+,Protestant,West,0,0
2016,217,2,61,1,6,Bachelor,White,Female,Pacific,$50000 to 59999,Catholic,Never Married,NA,High School,Not Str Democrat,Moderate,Pretty Happy,No Partners,Legal,Taurus,1,0.4784967557452195,Gt $50000,Age 55-65,Age 49-62,6+,1,Catholic,West,0,1
2016,218,1,45,2,5,Lt High School,White,Female,Pacific,$40000 to 49999,Catholic,Never Married,Lt High School,Lt High School,Strong Democrat,Moderate,Pretty Happy,NA,NA,Sagittarius,NA,1.4354902672356584,Gt $40000,Age 35-45,Age 34-49,5,2,Catholic,West,NA,NA
2016,219,1,47,4,3,High School,White,Male,Pacific,$75000 to $89999,Protestant,Divorced,Bachelor,Bachelor,Strong Republican,Liberal,Very Happy,NA,NA,Virgo,2,0.4784967557452195,Gt $75000,Age 45-55,Age 34-49,3,4+,Protestant,West,NA,0
2016,220,3,41,1,2,Bachelor,White,Male,Pacific,$170000 or over,Catholic,Married,High School,Lt High School,"Ind,near Dem",Liberal,Very Happy,1 Partner,Legal,Taurus,3,1.5643633629752385,Gt $170000,Age 35-45,Age 34-49,2,1,Catholic,West,1,0
2016,221,2,19,0,2,High School,Black,Female,Pacific,NA,Protestant,Never Married,High School,Lt High School,Strong Republican,NA,Pretty Happy,No Partners,Not Legal,Capricorn,NA,1.4354902672356584,NA,Age 18-35,Age 18-34,2,0,Protestant,West,0,NA
2016,222,3,50,3,7,Lt High School,Other,Male,Pacific,$60000 to 74999,Catholic,Married,Lt High School,Lt High School,Independent,Extremely Conservative,Very Happy,1 Partner,Not Legal,Aries,NA,3.827974045961756,Gt $60000,Age 45-55,Age 49-62,6+,3,Catholic,West,1,NA
2016,223,3,25,0,1,High School,Other,Male,Pacific,$75000 to $89999,None,Never Married,High School,High School,"Ind,near Dem",Liberal,Pretty Happy,11-20 Partners,Legal,Leo,3,1.4354902672356584,Gt $75000,Age 18-35,Age 18-34,1,0,None,West,4+,0
2016,224,3,45,2,0,Graduate,White,Male,Pacific,$170000 or over,None,Married,NA,Junior College,Not Str Republican,Slightly Conservative,Very Happy,1 Partner,Legal,Leo,NA,0.956993511490439,Gt $170000,Age 35-45,Age 34-49,0,2,None,West,1,NA
2016,225,2,21,0,2,Junior College,White,Male,Pacific,$40000 to 49999,Other,Never Married,Lt High School,Lt High School,"Ind,near Dem",Extremely Conservative,Pretty Happy,No Partners,Not Legal,Pisces,NA,1.4354902672356584,Gt $40000,Age 18-35,Age 18-34,2,0,Other,West,0,NA
2016,226,1,48,1,6,High School,Other,Female,Pacific,$60000 to 74999,Catholic,Married,High School,High School,Not Str Republican,Moderate,Very Happy,NA,NA,Aquarius,NA,2.3924837787260973,Gt $60000,Age 45-55,Age 34-49,6+,1,Catholic,West,NA,NA
2016,227,3,25,0,1,Graduate,Other,Male,Pacific,$50000 to 59999,Hinduism,Never Married,Graduate,High School,Strong Democrat,Slightly Liberal,Pretty Happy,No Partners,Not Legal,Gemini,NA,1.913987022980878,Gt $50000,Age 18-35,Age 18-34,1,0,Other,West,0,NA
2016,228,2,31,0,1,Bachelor,White,Male,Pacific,$60000 to 74999,None,Never Married,NA,High School,Independent,Moderate,Very Happy,5-10 Partners,Legal,NA,1,1.4354902672356584,Gt $60000,Age 18-35,Age 18-34,1,0,None,West,4+,1
2016,229,3,33,1,7,Bachelor,White,Female,Pacific,$50000 to 59999,Catholic,Never Married,High School,High School,"Ind,near Dem",Moderate,Pretty Happy,1 Partner,Legal,Capricorn,NA,0.956993511490439,Gt $50000,Age 18-35,Age 18-34,6+,1,Catholic,West,1,NA
2016,230,2,72,3,1,Bachelor,White,Male,Pacific,$60000 to 74999,Protestant,Married,High School,High School,Not Str Republican,Conservative,Pretty Happy,1 Partner,Legal,Gemini,2,0.956993511490439,Gt $60000,Age 65+,Age 62+,1,3,Protestant,West,1,0
2016,231,1,70,3,5,High School,White,Female,Pacific,$35000 to 39999,Protestant,Widowed,NA,Lt High School,Strong Republican,Conservative,Pretty Happy,NA,NA,Taurus,2,0.7821816814876192,Gt $35000,Age 65+,Age 62+,5,3,Protestant,West,NA,0
2016,232,3,66,2,1,Bachelor,White,Female,Pacific,$170000 or over,Catholic,Married,High School,High School,"Ind,near Rep",Moderate,Very Happy,1 Partner,Not Legal,Taurus,2,1.5643633629752385,Gt $170000,Age 65+,Age 62+,1,2,Catholic,West,1,0
2016,233,2,57,2,5,Graduate,Other,Female,Pacific,$170000 or over,Protestant,Married,NA,Lt High School,Strong Republican,Conservative,Very Happy,1 Partner,Not Legal,Sagittarius,2,0.956993511490439,Gt $170000,Age 55-65,Age 49-62,5,2,Protestant,West,1,0
2016,234,3,81,2,2,Graduate,White,Male,Pacific,$110000 to $129999,Catholic,Married,Junior College,High School,Not Str Republican,Slightly Conservative,Pretty Happy,1 Partner,NA,Sagittarius,2,0.956993511490439,Gt $110000,Age 65+,Age 62+,2,2,Catholic,West,1,0
2016,235,2,23,0,2,Bachelor,White,Male,Pacific,$170000 or over,Protestant,Never Married,Graduate,Bachelor,"Ind,near Rep",Slightly Conservative,Pretty Happy,4 Partners,Legal,Leo,NA,1.913987022980878,Gt $170000,Age 18-35,Age 18-34,2,0,Protestant,West,4+,NA
2016,236,1,48,2,3,Bachelor,White,Female,Pacific,$130000 to $149999,None,Divorced,NA,Lt High School,Not Str Republican,Conservative,Not Too Happy,NA,NA,Aries,NA,0.4784967557452195,Gt $130000,Age 45-55,Age 34-49,3,2,None,West,NA,NA
2016,237,3,62,3,4,Bachelor,White,Female,Pacific,$60000 to 74999,Protestant,Married,High School,High School,Strong Republican,Conservative,Pretty Happy,1 Partner,Not Legal,Cancer,2,1.4354902672356584,Gt $60000,Age 55-65,Age 49-62,4,3,Protestant,West,1,0
2016,238,3,43,3,1,High School,White,Male,Pacific,$75000 to $89999,Protestant,Married,High School,Lt High School,Strong Republican,Conservative,Pretty Happy,1 Partner,Legal,Virgo,2,1.4354902672356584,Gt $75000,Age 35-45,Age 34-49,1,3,Protestant,West,1,0
2016,239,1,34,0,3,High School,White,Female,Pacific,$50000 to 59999,None,Never Married,High School,High School,Other Party,Liberal,Very Happy,NA,NA,Aquarius,NA,1.5643633629752385,Gt $50000,Age 18-35,Age 18-34,3,0,None,West,NA,NA
2016,240,2,36,2,5,High School,Other,Male,Pacific,$90000 to $109999,Catholic,Married,Lt High School,Lt High School,"Ind,near Dem",Slightly Conservative,Very Happy,1 Partner,Not Legal,Taurus,NA,0.956993511490439,Gt $90000,Age 35-45,Age 34-49,5,2,Catholic,West,1,NA
2016,241,2,37,5,2,High School,Other,Male,Pacific,$50000 to 59999,Protestant,Never Married,Lt High School,High School,Not Str Republican,Slightly Conservative,Pretty Happy,1 Partner,Not Legal,Libra,2,1.5643633629752385,Gt $50000,Age 35-45,Age 34-49,2,4+,Protestant,West,1,0
2016,242,1,32,0,1,High School,White,Male,Pacific,$60000 to 74999,Catholic,Never Married,High School,High School,Not Str Democrat,Slightly Liberal,Very Happy,NA,NA,Sagittarius,1,3.128726725950477,Gt $60000,Age 18-35,Age 18-34,1,0,Catholic,West,NA,1
2016,243,2,53,6,12,Lt High School,Other,Female,Pacific,$50000 to 59999,Catholic,Separated,Lt High School,Lt High School,Strong Democrat,Liberal,Very Happy,No Partners,Not Legal,Leo,1,0.4784967557452195,Gt $50000,Age 45-55,Age 49-62,6+,4+,Catholic,West,0,1
2016,244,2,42,1,NA,High School,White,Male,Pacific,$60000 to 74999,None,Widowed,NA,Lt High School,Strong Republican,Conservative,Very Happy,1 Partner,Legal,Taurus,NA,0.4784967557452195,Gt $60000,Age 35-45,Age 34-49,NA,1,None,West,1,NA
2016,245,1,51,3,8,High School,Other,Male,Pacific,$60000 to 74999,None,Married,NA,Lt High School,Strong Republican,Moderate,Very Happy,NA,NA,Cancer,2,1.4354902672356584,Gt $60000,Age 45-55,Age 49-62,6+,3,None,West,NA,0
2016,246,1,44,0,1,Graduate,Other,Female,Pacific,$130000 to $149999,None,Married,Graduate,High School,Not Str Democrat,Liberal,Pretty Happy,NA,NA,Capricorn,NA,0.956993511490439,Gt $130000,Age 35-45,Age 34-49,1,0,None,West,NA,NA
2016,247,3,36,1,1,High School,White,Female,Pacific,$90000 to $109999,Protestant,Married,Graduate,High School,Other Party,Moderate,Pretty Happy,1 Partner,NA,Leo,NA,1.5643633629752385,Gt $90000,Age 35-45,Age 34-49,1,1,Protestant,West,1,NA
2016,248,2,49,0,1,Junior College,White,Male,Pacific,$110000 to $129999,None,Married,Junior College,Graduate,"Ind,near Rep",Moderate,Pretty Happy,1 Partner,Legal,Sagittarius,1,1.5643633629752385,Gt $110000,Age 45-55,Age 34-49,1,0,None,West,1,1
2016,249,2,49,3,1,High School,Other,Female,Pacific,NA,Christian,Married,NA,High School,NA,NA,Very Happy,1 Partner,Not Legal,Gemini,NA,1.4354902672356584,NA,Age 45-55,Age 34-49,1,3,Other,West,1,NA
2016,250,3,35,2,3,Bachelor,White,Female,Pacific,$170000 or over,Protestant,Married,High School,High School,Not Str Republican,Conservative,Pretty Happy,1 Partner,Not Legal,Virgo,NA,1.5643633629752385,Gt $170000,Age 18-35,Age 34-49,3,2,Protestant,West,1,NA
2016,251,2,47,2,1,Bachelor,White,Male,Pacific,NA,None,Married,NA,High School,"Ind,near Rep",Slightly Conservative,Pretty Happy,1 Partner,Legal,NA,2,0.7821816814876192,NA,Age 45-55,Age 34-49,1,2,None,West,1,0
2016,252,2,29,0,2,Bachelor,Black,Male,Pacific,$170000 or over,Protestant,Never Married,Junior College,High School,"Ind,near Dem",Liberal,Pretty Happy,4 Partners,Legal,Aries,NA,2.3465450444628577,Gt $170000,Age 18-35,Age 18-34,2,0,Protestant,West,4+,NA
2016,253,3,36,2,1,Bachelor,Black,Male,Pacific,$75000 to $89999,None,Never Married,High School,Graduate,Independent,Moderate,Very Happy,1 Partner,Legal,Sagittarius,1,0.4784967557452195,Gt $75000,Age 35-45,Age 34-49,1,2,None,West,1,1
2016,254,2,31,0,5,High School,White,Male,Pacific,$90000 to $109999,Christian,Married,High School,High School,Strong Republican,Slightly Conservative,Pretty Happy,1 Partner,Legal,Pisces,2,1.5643633629752385,Gt $90000,Age 18-35,Age 18-34,5,0,Other,West,1,0
2016,255,3,19,0,6,High School,Black,Male,Pacific,NA,Protestant,Never Married,High School,High School,"Ind,near Dem",Moderate,Not Too Happy,3 Partners,Legal,Taurus,NA,1.913987022980878,NA,Age 18-35,Age 18-34,6+,0,Protestant,West,3,NA
2016,256,2,25,0,2,High School,Black,Male,Pacific,NA,Protestant,Never Married,Bachelor,Bachelor,Not Str Democrat,Slightly Liberal,Pretty Happy,3 Partners,Not Legal,Cancer,1,1.4354902672356584,NA,Age 18-35,Age 18-34,2,0,Protestant,West,3,1
2016,257,1,30,1,5,Bachelor,White,Female,Pacific,$50000 to 59999,Catholic,Divorced,Lt High School,Lt High School,"Ind,near Dem",Moderate,Very Happy,NA,NA,Virgo,NA,0.956993511490439,Gt $50000,Age 18-35,Age 18-34,5,1,Catholic,West,NA,NA
2016,258,1,62,2,3,High School,White,Male,Pacific,$75000 to $89999,Jewish,Married,NA,High School,Not Str Democrat,Slightly Liberal,Very Happy,NA,NA,Sagittarius,1,1.5643633629752385,Gt $75000,Age 55-65,Age 49-62,3,2,Jewish,West,NA,1
2016,259,3,35,0,1,Graduate,White,Female,Pacific,$75000 to $89999,Protestant,Married,Graduate,High School,Strong Republican,Conservative,Pretty Happy,1 Partner,Not Legal,Virgo,2,0.956993511490439,Gt $75000,Age 18-35,Age 34-49,1,0,Protestant,West,1,0
2016,260,1,41,4,2,High School,Other,Male,Pacific,NA,Catholic,Separated,Lt High School,High School,"Ind,near Rep",Moderate,Very Happy,NA,NA,Taurus,2,0.4784967557452195,NA,Age 35-45,Age 34-49,2,4+,Catholic,West,NA,0
2016,261,1,62,1,2,Graduate,White,Female,Pacific,$60000 to 74999,Other,Separated,Graduate,High School,Strong Democrat,Extremely Liberal,Pretty Happy,NA,NA,Sagittarius,1,0.4784967557452195,Gt $60000,Age 55-65,Age 49-62,2,1,Other,West,NA,1
2016,262,3,20,0,1,High School,White,Male,Pacific,under $1 000,Catholic,Never Married,High School,High School,Not Str Republican,Slightly Conservative,Pretty Happy,3 Partners,Legal,Cancer,NA,0.956993511490439,Gt $0,Age 18-35,Age 18-34,1,0,Catholic,West,3,NA
2016,263,2,42,2,3,High School,White,Male,Pacific,$25000 to 29999,Catholic,Never Married,Lt High School,Lt High School,Not Str Democrat,Moderate,Very Happy,1 Partner,Not Legal,Taurus,1,0.956993511490439,Gt $25000,Age 35-45,Age 34-49,3,2,Catholic,West,1,1
2016,264,1,30,1,3,High School,Black,Female,Pacific,$3 000 to 3 999,Protestant,Never Married,Junior College,Bachelor,Not Str Democrat,Liberal,Very Happy,NA,NA,Capricorn,NA,0.4784967557452195,Gt $0,Age 18-35,Age 18-34,3,1,Protestant,West,NA,NA
2016,265,2,26,1,1,Junior College,Other,Female,Pacific,$22500 to 24999,Protestant,Separated,High School,High School,Not Str Republican,Slightly Conservative,Pretty Happy,3 Partners,Not Legal,Taurus,2,1.4354902672356584,Gt $20000,Age 18-35,Age 18-34,1,1,Protestant,West,3,0
2016,266,2,58,2,12,Junior College,White,Female,Pacific,$35000 to 39999,Catholic,Divorced,NA,Lt High School,"Ind,near Rep",Moderate,Not Too Happy,1 Partner,Legal,Virgo,5,0.956993511490439,Gt $35000,Age 55-65,Age 49-62,6+,2,Catholic,West,1,0
2016,267,1,47,1,1,High School,White,Female,Pacific,$75000 to $89999,Protestant,Never Married,High School,Graduate,"Ind,near Dem",Extremely Liberal,Pretty Happy,NA,NA,Capricorn,NA,0.956993511490439,Gt $75000,Age 45-55,Age 34-49,1,1,Protestant,West,NA,NA
2016,268,2,61,2,3,High School,Black,Female,Pacific,$25000 to 29999,Protestant,Divorced,NA,Lt High School,NA,NA,Very Happy,No Partners,Legal,Aquarius,NA,0.7821816814876192,Gt $25000,Age 55-65,Age 49-62,3,2,Protestant,West,0,NA
2016,269,3,44,2,8,Lt High School,White,Male,Pacific,$90000 to $109999,Protestant,Married,Lt High School,Lt High School,Independent,Moderate,Pretty Happy,1 Partner,Not Legal,Virgo,NA,1.4354902672356584,Gt $90000,Age 35-45,Age 34-49,6+,2,Protestant,West,1,NA
2016,270,2,75,0,1,Graduate,White,Female,Pacific,$75000 to $89999,Jewish,Married,High School,Lt High School,Strong Democrat,Extremely Liberal,Very Happy,1 Partner,Legal,Cancer,1,0.956993511490439,Gt $75000,Age 65+,Age 62+,1,0,Jewish,West,1,1
2016,271,3,44,3,2,Graduate,White,Female,Pacific,$60000 to 74999,Catholic,Married,NA,Junior College,"Ind,near Rep",Moderate,Very Happy,1 Partner,NA,Gemini,NA,0.956993511490439,Gt $60000,Age 35-45,Age 34-49,2,3,Catholic,West,1,NA
2016,272,2,36,0,0,Bachelor,White,Female,Pacific,$60000 to 74999,Catholic,Married,High School,Junior College,Not Str Republican,Moderate,Very Happy,1 Partner,Legal,Scorpio,2,0.956993511490439,Gt $60000,Age 35-45,Age 34-49,0,0,Catholic,West,1,0
2016,273,1,62,2,2,Bachelor,White,Female,Pacific,$90000 to $109999,None,Divorced,High School,High School,"Ind,near Dem",Slightly Liberal,Pretty Happy,NA,NA,Sagittarius,1,0.7821816814876192,Gt $90000,Age 55-65,Age 49-62,2,2,None,West,NA,1
2016,274,2,37,2,0,Bachelor,White,Male,Pacific,$50000 to 59999,Protestant,Married,NA,High School,"Ind,near Rep",Slightly Conservative,Very Happy,1 Partner,NA,Scorpio,NA,0.956993511490439,Gt $50000,Age 35-45,Age 34-49,0,2,Protestant,West,1,NA
2016,275,1,69,2,1,High School,White,Female,Pacific,$30000 to 34999,Protestant,Widowed,High School,High School,Not Str Republican,Moderate,Very Happy,NA,NA,Aquarius,5,0.4784967557452195,Gt $30000,Age 65+,Age 62+,1,2,Protestant,West,NA,0
2016,276,3,48,2,2,High School,White,Male,Pacific,NA,Protestant,Divorced,Graduate,Graduate,Not Str Democrat,Moderate,Pretty Happy,NA,Legal,Virgo,NA,0.4784967557452195,NA,Age 45-55,Age 34-49,2,2,Protestant,West,NA,NA
2016,277,2,44,3,2,Graduate,White,Female,Pacific,$130000 to $149999,None,Married,High School,Junior College,"Ind,near Dem",Extremely Liberal,Pretty Happy,No Partners,Legal,Gemini,1,0.956993511490439,Gt $130000,Age 35-45,Age 34-49,2,3,None,West,0,1
2016,278,3,59,0,2,Bachelor,White,Male,Pacific,$35000 to 39999,Protestant,Married,High School,Graduate,Strong Republican,Extremely Conservative,Very Happy,No Partners,Not Legal,NA,2,0.956993511490439,Gt $35000,Age 55-65,Age 49-62,2,0,Protestant,West,0,0
2016,279,2,61,2,4,Junior College,White,Female,Pacific,$50000 to 59999,Protestant,Married,Junior College,Lt High School,Independent,Slightly Liberal,Pretty Happy,1 Partner,Legal,Leo,1,0.956993511490439,Gt $50000,Age 55-65,Age 49-62,4,2,Protestant,West,1,1
2016,280,2,31,2,3,Lt High School,White,Male,Pacific,$75000 to $89999,Catholic,Married,Lt High School,Lt High School,Independent,Moderate,Very Happy,1 Partner,Legal,Aries,NA,0.956993511490439,Gt $75000,Age 18-35,Age 18-34,3,2,Catholic,West,1,NA
2016,281,1,54,3,5,Lt High School,White,Female,Pacific,$30000 to 34999,Catholic,Married,Lt High School,Lt High School,Independent,Slightly Liberal,Very Happy,NA,NA,Pisces,NA,0.956993511490439,Gt $30000,Age 45-55,Age 49-62,5,3,Catholic,West,NA,NA
2016,282,1,49,2,6,High School,White,Female,Pacific,$17500 to 19999,Protestant,Divorced,NA,High School,"Ind,near Rep",Moderate,Pretty Happy,NA,NA,Virgo,2,0.4784967557452195,Gt $15000,Age 45-55,Age 34-49,6+,2,Protestant,West,NA,0
2016,283,3,47,4,6,High School,White,Female,Pacific,NA,Catholic,Married,Lt High School,Lt High School,NA,Moderate,Pretty Happy,NA,Legal,Aries,NA,1.4354902672356584,NA,Age 45-55,Age 34-49,6+,4+,Catholic,West,NA,NA
2016,284,1,NA,1,10,High School,White,Female,E. Nor. Central,$110000 to $129999,Catholic,Married,Lt High School,Lt High School,Strong Democrat,Moderate,Very Happy,NA,NA,NA,NA,1.5643633629752385,Gt $110000,NA,NA,6+,1,Catholic,Midwest,NA,NA
2016,285,1,83,3,3,High School,White,Female,E. Nor. Central,NA,Protestant,Widowed,NA,Lt High School,Strong Republican,Conservative,Pretty Happy,NA,NA,Virgo,2,0.4784967557452195,NA,Age 65+,Age 62+,3,3,Protestant,Midwest,NA,0
2016,286,3,38,3,2,Junior College,Black,Male,E. Nor. Central,$75000 to $89999,None,Divorced,High School,Graduate,Not Str Democrat,Slightly Conservative,Pretty Happy,1 Partner,Legal,Leo,1,0.956993511490439,Gt $75000,Age 35-45,Age 34-49,2,3,None,Midwest,1,1
2016,287,2,47,1,5,Junior College,Black,Male,E. Nor. Central,$15000 to 17499,Moslem/Islam,Married,Lt High School,Lt High School,Not Str Democrat,Extremely Liberal,Very Happy,NA,Not Legal,Capricorn,NA,0.4784967557452195,Gt $15000,Age 45-55,Age 34-49,5,1,Other,Midwest,NA,NA
2016,288,3,28,0,4,High School,White,Male,E. Nor. Central,$60000 to 74999,Catholic,Married,Lt High School,High School,"Ind,near Dem",Extremely Liberal,Pretty Happy,2 Partners,Legal,Leo,1,0.956993511490439,Gt $60000,Age 18-35,Age 18-34,4,0,Catholic,Midwest,2,1
2016,289,1,73,2,6,High School,White,Female,E. Nor. Central,$150000 to $169999,Protestant,Widowed,Lt High School,High School,Strong Republican,Conservative,Pretty Happy,NA,NA,Libra,2,0.956993511490439,Gt $150000,Age 65+,Age 62+,6+,2,Protestant,Midwest,NA,0
2016,290,1,31,0,2,Graduate,White,Female,E. Nor. Central,$90000 to $109999,Protestant,Never Married,Bachelor,Bachelor,Strong Democrat,Liberal,Pretty Happy,NA,NA,Aquarius,1,0.4784967557452195,Gt $90000,Age 18-35,Age 18-34,2,0,Protestant,Midwest,NA,1
2016,291,2,55,0,2,Graduate,White,Male,E. Nor. Central,$170000 or over,None,Married,High School,High School,Strong Democrat,Liberal,Very Happy,1 Partner,NA,Aries,1,0.956993511490439,Gt $170000,Age 45-55,Age 49-62,2,0,None,Midwest,1,1
2016,292,2,61,0,2,Bachelor,White,Male,E. Nor. Central,$110000 to $129999,Protestant,Married,Graduate,Bachelor,"Ind,near Dem",Slightly Liberal,Pretty Happy,No Partners,Not Legal,Scorpio,1,0.956993511490439,Gt $110000,Age 55-65,Age 49-62,2,0,Protestant,Midwest,0,1
2016,293,1,50,2,1,Bachelor,White,Male,E. Nor. Central,$170000 or over,None,Married,High School,High School,Strong Democrat,Moderate,Very Happy,NA,NA,Capricorn,1,0.4784967557452195,Gt $170000,Age 45-55,Age 49-62,1,2,None,Midwest,NA,1
2016,294,1,67,2,5,High School,White,Female,E. Nor. Central,$10000 to 12499,None,Divorced,Lt High School,High School,"Ind,near Dem",Moderate,Very Happy,NA,NA,Pisces,NA,0.4784967557452195,Gt $10000,Age 65+,Age 62+,5,2,None,Midwest,NA,NA
2016,295,3,41,2,8,Lt High School,White,Male,E. Nor. Central,$25000 to 29999,Catholic,Married,NA,Lt High School,Not Str Democrat,Slightly Conservative,Very Happy,1 Partner,Legal,Pisces,NA,0.956993511490439,Gt $25000,Age 35-45,Age 34-49,6+,2,Catholic,Midwest,1,NA
2016,296,2,22,0,3,High School,Other,Female,E. Nor. Central,$25000 to 29999,Protestant,Never Married,Junior College,High School,"Ind,near Dem",Conservative,Pretty Happy,NA,Not Legal,Virgo,NA,1.4354902672356584,Gt $25000,Age 18-35,Age 18-34,3,0,Protestant,Midwest,NA,NA
2016,297,1,60,1,2,Bachelor,White,Female,E. Nor. Central,$75000 to $89999,Buddhism,Married,High School,High School,Strong Democrat,Extremely Liberal,Pretty Happy,NA,NA,Cancer,1,0.956993511490439,Gt $75000,Age 55-65,Age 49-62,2,1,Other,Midwest,NA,1
2016,298,3,36,2,6,Bachelor,Other,Female,E. Nor. Central,$90000 to $109999,Catholic,Married,High School,High School,Not Str Democrat,Slightly Liberal,Very Happy,1 Partner,Legal,Sagittarius,1,0.956993511490439,Gt $90000,Age 35-45,Age 34-49,6+,2,Catholic,Midwest,1,1
2016,299,1,39,3,4,Bachelor,Other,Female,E. Nor. Central,$170000 or over,None,Married,Bachelor,Junior College,Strong Democrat,Liberal,Pretty Happy,NA,NA,Capricorn,1,1.5643633629752385,Gt $170000,Age 35-45,Age 34-49,4,3,None,Midwest,NA,1
2016,300,2,40,0,0,Bachelor,Black,Male,E. Nor. Central,$35000 to 39999,Other,Divorced,NA,Bachelor,Not Str Democrat,Moderate,Pretty Happy,1 Partner,Legal,Capricorn,1,0.956993511490439,Gt $35000,Age 35-45,Age 34-49,0,0,Other,Midwest,1,1
2016,301,1,23,1,7,High School,Black,Female,E. Nor. Central,$22500 to 24999,None,Never Married,NA,Lt High School,Strong Democrat,Moderate,Pretty Happy,NA,NA,Libra,1,0.956993511490439,Gt $20000,Age 18-35,Age 18-34,6+,1,None,Midwest,NA,1
2016,302,3,63,4,3,Lt High School,Black,Female,E. Nor. Central,$10000 to 12499,Protestant,Separated,Lt High School,NA,Strong Democrat,Moderate,Not Too Happy,1 Partner,Legal,Sagittarius,NA,0.4784967557452195,Gt $10000,Age 55-65,Age 62+,3,4+,Protestant,Midwest,1,NA
2016,303,2,60,3,4,High School,Black,Male,E. Nor. Central,$22500 to 24999,Protestant,Married,Lt High School,High School,"Ind,near Rep",Moderate,Pretty Happy,1 Partner,Not Legal,Libra,1,0.956993511490439,Gt $20000,Age 55-65,Age 49-62,4,3,Protestant,Midwest,1,1
2016,304,1,40,1,4,High School,Black,Male,E. Nor. Central,$22500 to 24999,Moslem/Islam,Never Married,NA,Bachelor,"Ind,near Dem",Extremely Conservative,Very Happy,NA,NA,Gemini,NA,1.4354902672356584,Gt $20000,Age 35-45,Age 34-49,4,1,Other,Midwest,NA,NA
2016,305,1,40,5,2,High School,Black,Male,E. Nor. Central,$90000 to $109999,None,Married,NA,High School,Independent,Moderate,Pretty Happy,NA,NA,Cancer,NA,0.956993511490439,Gt $90000,Age 35-45,Age 34-49,2,4+,None,Midwest,NA,NA
2016,306,1,30,0,2,Graduate,White,Female,E. Nor. Central,$150000 to $169999,Catholic,Married,High School,Bachelor,Not Str Democrat,Moderate,Very Happy,NA,NA,Cancer,NA,1.5643633629752385,Gt $150000,Age 18-35,Age 18-34,2,0,Catholic,Midwest,NA,NA
2016,307,2,43,5,4,High School,Other,Female,E. Nor. Central,$50000 to 59999,Catholic,Separated,Lt High School,Lt High School,"Ind,near Rep",Moderate,Very Happy,1 Partner,Legal,Scorpio,1,0.7821816814876192,Gt $50000,Age 35-45,Age 34-49,4,4+,Catholic,Midwest,1,1
